Market,Week,WeekDay,Hour,Revenue,Count,AvgFare
STNDUB,48,6,21,2280,43,53 
STNDUB,48,6,22,2743,52,53 
STNDUB,48,6,23,2402,43,56 
STNDUB,48,7,0,1686,25,67 
STNDUB,48,7,1,812,13,62 
STNDUB,48,7,2,408,4,102 
STNDUB,48,7,4,92,2,46 
STNDUB,48,7,5,199,6,33 
STNDUB,48,7,6,130,1,130 
STNDUB,48,7,7,288,9,32 
STNDUB,48,7,8,1314,23,57 
STNDUB,48,7,9,3264,42,78 
STNDUB,48,7,10,2619,44,60 
STNDUB,48,7,11,3561,53,67 
STNDUB,48,7,12,2309,44,52 
STNDUB,48,7,13,2666,43,62 
STNDUB,48,7,14,3411,47,73 
STNDUB,48,7,15,3610,68,53 
STNDUB,48,7,16,4121,79,52 
STNDUB,48,7,17,2596,51,51 
STNDUB,48,7,18,3959,54,73 
STNDUB,48,7,19,2080,40,52 
STNDUB,48,7,20,3052,37,82 
STNDUB,48,7,21,1724,41,42 
STNDUB,48,7,22,1760,42,42 
STNDUB,48,7,23,1450,20,73 
STNDUB,49,1,0,512,16,32 
STNDUB,49,1,1,430,11,39 
STNDUB,49,1,2,337,6,56 
STNDUB,49,1,3,367,5,73 
STNDUB,49,1,4,319,2,159 
STNDUB,49,1,5,187,1,187 
STNDUB,49,1,6,81,5,16 
STNDUB,49,1,7,108,6,18 
STNDUB,49,1,8,1243,19,65 
STNDUB,49,1,9,1834,20,92 
STNDUB,49,1,10,1656,28,59 
STNDUB,49,1,11,2463,46,54 
STNDUB,49,1,12,2370,39,61 
STNDUB,49,1,13,3423,63,54 
STNDUB,49,1,14,2370,53,45 
STNDUB,49,1,15,2582,55,47 
STNDUB,49,1,16,2195,34,65 
STNDUB,49,1,17,3223,77,42 
STNDUB,49,1,18,3051,47,65 
STNDUB,49,1,19,3347,69,49 
STNDUB,49,1,20,3109,56,56 
STNDUB,49,1,21,3477,68,51 
STNDUB,49,1,22,3189,67,48 
STNDUB,49,1,23,2005,26,77 
STNDUB,49,2,0,848,18,47 
STNDUB,49,2,1,247,10,25 
STNDUB,49,2,2,361,5,72 
STNDUB,49,2,3,685,9,76 
STNDUB,49,2,4,151,4,38 
STNDUB,49,2,5,780,6,130 
STNDUB,49,2,6,37,2,19 
STNDUB,49,2,7,634,15,42 
STNDUB,49,2,8,1961,30,65 
STNDUB,49,2,9,2906,60,48 
STNDUB,49,2,10,4724,83,57 
STNDUB,49,2,11,2743,67,41 
STNDUB,49,2,12,2634,56,47 
STNDUB,49,2,13,4524,85,53 
STNDUB,49,2,14,3544,83,43 
STNDUB,49,2,15,3184,55,58 
STNDUB,49,2,16,4118,60,69 
STNDUB,49,2,17,3866,59,66 
STNDUB,49,2,18,3295,58,57 
STNDUB,49,2,19,3578,73,49 
STNDUB,49,2,20,4509,95,47 
