Week,WeekDay,Hour, Revenue ,Count, AvgFare 
48,6,6," 260,286.54 ",4226, 61.59 
48,6,7," 497,730.40 ",8325, 59.79 
48,6,8," 932,937.23 ",15580, 59.88 
48,6,9," 1,252,856.77 ",20924, 59.88 
48,6,10," 1,470,320.57 ",24541, 59.91 
48,6,11," 1,427,057.16 ",24490, 58.27 
48,6,12," 1,380,662.59 ",23844, 57.90 
48,6,13," 1,364,583.12 ",23037, 59.23 
48,6,14," 1,380,593.00 ",23337, 59.16 
48,6,15," 1,385,295.21 ",23907, 57.95 
48,6,16," 1,434,121.47 ",24465, 58.62 
48,6,17," 1,425,762.55 ",24325, 58.61 
48,6,18," 1,359,635.63 ",23931, 56.81 
48,6,19," 1,309,888.05 ",23348, 56.10 
48,6,20," 1,273,945.13 ",23182, 54.95 
48,6,21," 1,139,062.32 ",21228, 53.66 
48,6,22," 853,383.63 ",15971, 53.43 
48,6,23," 557,491.93 ",10322, 54.01 
48,7,0," 284,202.80 ",4931, 57.64 
48,7,1," 150,634.80 ",2637, 57.12 
48,7,2," 89,239.78 ",1555, 57.39 
48,7,3," 57,504.83 ",983, 58.50 
48,7,4," 51,720.38 ",837, 61.79 
48,7,5," 63,601.29 ",1181, 53.85 
48,7,6," 140,521.33 ",2426, 57.92 
48,7,7," 298,283.90 ",5202, 57.34 
48,7,8," 583,243.06 ",9752, 59.81 
48,7,9," 884,583.01 ",14628, 60.47 
48,7,10," 1,127,272.88 ",18625, 60.52 
48,7,11," 1,174,766.57 ",19547, 60.10 
48,7,12," 1,126,795.66 ",18720, 60.19 
48,7,13," 1,146,261.28 ",19364, 59.20 
48,7,14," 1,137,206.21 ",18772, 60.58 
48,7,15," 1,115,430.19 ",18289, 60.99 
48,7,16," 1,173,992.04 ",19049, 61.63 
48,7,17," 1,321,468.49 ",21035, 62.82 
48,7,18," 1,333,993.30 ",20436, 65.28 
48,7,19," 1,073,179.85 ",17729, 60.53 
48,7,20," 1,033,444.19 ",17204, 60.07 
48,7,21," 934,671.75 ",15532, 60.18 
48,7,22," 675,879.88 ",11472, 58.92 
48,7,23," 429,705.14 ",7484, 57.42 
49,1,0," 261,550.85 ",4444, 58.85 
49,1,1," 145,785.56 ",2413, 60.42 
49,1,2," 74,784.95 ",1194, 62.63 
49,1,3," 64,761.43 ",1029, 62.94 
49,1,4," 55,169.25 ",906, 60.89 
49,1,5," 67,039.55 ",1040, 64.46 
49,1,6," 94,216.14 ",1541, 61.14 
49,1,7," 233,211.50 ",3749, 62.21 
49,1,8," 526,473.44 ",8543, 61.63 
49,1,9," 834,288.38 ",13653, 61.11 
49,1,10," 1,082,993.36 ",17655, 61.34 
49,1,11," 1,242,789.92 ",19838, 62.65 
49,1,12," 1,202,631.72 ",19470, 61.77 
49,1,13," 1,213,551.39 ",19957, 60.81 
49,1,14," 1,234,826.14 ",20221, 61.07 
49,1,15," 1,227,229.64 ",20581, 59.63 
49,1,16," 1,328,972.59 ",21745, 61.12 
49,1,17," 1,476,775.76 ",24704, 59.78 
49,1,18," 1,489,358.89 ",24656, 60.41 
49,1,19," 1,567,851.52 ",26160, 59.93 
49,1,20," 1,523,961.96 ",25176, 60.53 
49,1,21," 1,304,359.58 ",21675, 60.18 
49,1,22," 873,944.50 ",14618, 59.79 
49,1,23," 466,548.60 ",7969, 58.55 
49,2,0," 221,635.30 ",3831, 57.85 
49,2,1," 113,265.28 ",1922, 58.93 
49,2,2," 65,029.97 ",1105, 58.85 
49,2,3," 48,390.69 ",796, 60.79 
49,2,4," 52,833.55 ",888, 59.50 
49,2,5," 85,613.85 ",1315, 65.11 
49,2,6," 195,317.40 ",2884, 67.72 
49,2,7," 427,765.51 ",6522, 65.59 
49,2,8," 751,357.02 ",11942, 62.92 
49,2,9," 1,142,251.86 ",18144, 62.95 
49,2,10," 1,377,515.57 ",22402, 61.49 
49,2,11," 1,454,971.82 ",23288, 62.48 
49,2,12," 1,398,542.03 ",23250, 60.15 
49,2,13," 1,346,748.77 ",22489, 59.88 
49,2,14," 1,343,751.11 ",22435, 59.90 
49,2,15," 1,324,744.25 ",21937, 60.39 
49,2,16," 1,371,735.38 ",22743, 60.31 
49,2,17," 1,512,385.51 ",24998, 60.50 
49,2,18," 1,518,616.22 ",25759, 58.95 
49,2,19," 1,648,538.86 ",28140, 58.58 
49,2,20," 1,806,116.84 ",30606, 59.01 
49,2,21," 1,669,371.74 ",28262, 59.07 
49,2,22," 1,085,777.47 ",18263, 59.45 
49,2,23," 549,069.64 ",9610, 57.14 
49,3,0," 250,636.99 ",4428, 56.60 
49,3,1," 122,120.87 ",2081, 58.68 
49,3,2," 70,294.84 ",1260, 55.79 
49,3,3," 54,133.76 ",968, 55.92 
49,3,4," 57,035.13 ",988, 57.73 
49,3,5," 108,939.55 ",1792, 60.79 
49,3,6," 205,510.01 ",3485, 58.97 
49,3,7," 422,928.38 ",7102, 59.55 
49,3,8," 817,450.90 ",13381, 61.09 
49,3,9," 1,170,954.45 ",19347, 60.52 
49,3,10," 1,284,045.65 ",21446, 59.87 
49,3,11," 1,363,008.05 ",22387, 60.88 
49,3,12," 1,328,569.53 ",22455, 59.17 
49,3,13," 1,293,091.80 ",22517, 57.43 
49,3,14," 1,292,132.61 ",22100, 58.47 
49,3,15," 1,328,127.10 ",22411, 59.26 
49,3,16," 1,351,327.62 ",22826, 59.20 
49,3,17," 1,525,631.45 ",25588, 59.62 
49,3,18," 1,511,225.15 ",25707, 58.79 
49,3,19," 1,630,521.81 ",27542, 59.20 
49,3,20," 1,830,343.91 ",30810, 59.41 
49,3,21," 1,637,057.32 ",27806, 58.87 
49,3,22," 1,162,443.06 ",19826, 58.63 
49,3,23," 621,156.24 ",10952, 56.72 
49,4,0," 278,521.29 ",4818, 57.81 
49,4,1," 121,907.74 ",2207, 55.24 
49,4,2," 78,533.11 ",1407, 55.82 
49,4,3," 59,187.10 ",1042, 56.80 
49,4,4," 58,218.71 ",1049, 55.50 
49,4,5," 107,175.66 ",1745, 61.42 
49,4,6," 202,469.04 ",3482, 58.15 
49,4,7," 402,048.11 ",6977, 57.62 
49,4,8," 822,820.71 ",13706, 60.03 
49,4,9," 1,056,674.42 ",17893, 59.06 
49,4,10," 1,277,621.59 ",21575, 59.22 
49,4,11," 1,321,683.28 ",22291, 59.29 
49,4,12," 1,247,675.89 ",21699, 57.50 
49,4,13," 1,280,150.33 ",21611, 59.24 
49,4,14," 1,261,621.63 ",20798, 60.66 
49,4,15," 1,210,017.83 ",20908, 57.87 
49,4,16," 1,286,433.19 ",22059, 58.32 
49,4,17," 1,340,386.74 ",23840, 56.22 
49,4,18," 1,362,337.42 ",24472, 55.67 
49,4,19," 1,445,930.38 ",26260, 55.06 
49,4,20," 1,566,976.07 ",28334, 55.30 
49,4,21," 1,408,075.28 ",25513, 55.19 
49,4,22," 962,806.88 ",17988, 53.52 
49,4,23," 528,372.04 ",9925, 53.24 
49,5,0," 245,276.52 ",4588, 53.46 
49,5,1," 111,449.49 ",2128, 52.37 
49,5,2," 70,283.06 ",1304, 53.90 
49,5,3," 54,337.00 ",950, 57.20 
49,5,4," 55,267.95 ",955, 57.87 
49,5,5," 97,380.04 ",1652, 58.95 
49,5,6," 200,685.74 ",3425, 58.59 
49,5,7," 432,575.84 ",7366, 58.73 
49,5,8," 780,058.83 ",13280, 58.74 
49,5,9," 1,092,106.59 ",18667, 58.50 
49,5,10," 1,276,960.01 ",21980, 58.10 
49,5,11," 1,282,472.75 ",22157, 57.88 
49,5,12," 1,226,998.11 ",21136, 58.05 
49,5,13," 1,164,290.07 ",20519, 56.74 
49,5,14," 1,179,018.51 ",20781, 56.74 
49,5,15," 1,186,137.36 ",21450, 55.30 
49,5,16," 1,249,796.86 ",22050, 56.68 
49,5,17," 1,280,418.87 ",22589, 56.68 
49,5,18," 1,323,601.68 ",23826, 55.55 
49,5,19," 1,372,231.72 ",24802, 55.33 
49,5,20," 1,364,280.75 ",24679, 55.28 
49,5,21," 1,259,878.19 ",22579, 55.80 
49,5,22," 902,377.86 ",16369, 55.13 
49,5,23," 526,963.57 ",9884, 53.31 
49,6,0," 269,488.02 ",5062, 53.24 
49,6,1," 126,889.06 ",2379, 53.34 
49,6,2," 67,765.19 ",1312, 51.65 
49,6,3," 57,893.13 ",1040, 55.67 
49,6,4," 56,115.56 ",985, 56.97 
49,6,5," 93,561.00 ",1615, 57.93 
49,6,6," 181,244.53 ",3319, 54.61 
49,6,7," 393,550.80 ",6912, 56.94 
49,6,8," 751,044.87 ",13114, 57.27 
49,6,9," 1,083,815.33 ",19013, 57.00 
49,6,10," 1,217,733.51 ",22096, 55.11 
49,6,11," 1,291,637.99 ",24038, 53.73 
49,6,12," 1,257,975.21 ",24490, 51.37 
49,6,13," 1,194,791.36 ",23455, 50.94 
49,6,14," 1,235,527.91 ",23362, 52.89 
49,6,15," 1,217,805.05 ",23247, 52.39 
49,6,16," 1,137,679.18 ",22957, 49.56 
49,6,17," 1,187,606.98 ",23462, 50.62 
49,6,18," 1,141,383.97 ",22963, 49.71 
49,6,19," 1,168,784.06 ",22715, 51.45 
49,6,20," 1,096,842.53 ",21907, 50.07 
49,6,21," 988,480.11 ",19599, 50.44 
49,6,22," 710,880.74 ",14810, 48.00 
49,6,23," 453,136.45 ",9532, 47.54 
49,7,0," 261,517.49 ",5301, 49.33 
49,7,1," 126,165.24 ",2662, 47.39 
49,7,2," 69,546.88 ",1509, 46.09 
49,7,3," 47,120.51 ",1012, 46.56 
49,7,4," 41,069.95 ",849, 48.37 
49,7,5," 63,812.46 ",1163, 54.87 
49,7,6," 137,353.79 ",2554, 53.78 
49,7,7," 253,614.23 ",5070, 50.02 
49,7,8," 529,454.80 ",10302, 51.39 
49,7,9," 820,611.83 ",15667, 52.38 
49,7,10," 975,205.91 ",18766, 51.97 
49,7,11," 1,067,098.28 ",20255, 52.68 
49,7,12," 996,755.47 ",19879, 50.14 
49,7,13," 1,037,307.80 ",20291, 51.12 
49,7,14," 986,394.84 ",19410, 50.82 
49,7,15," 976,082.76 ",18836, 51.82 
49,7,16," 937,670.95 ",18477, 50.75 
49,7,17," 957,916.69 ",18676, 51.29 
49,7,18," 925,711.56 ",18137, 51.04 
49,7,19," 870,340.78 ",17416, 49.97 
49,7,20," 852,778.30 ",17056, 50.00 
49,7,21," 785,497.48 ",15720, 49.97 
49,7,22," 595,601.38 ",12058, 49.39 
49,7,23," 380,015.15 ",7681, 49.47 
50,1,0," 224,207.67 ",4562, 49.15 
50,1,1," 124,938.14 ",2604, 47.98 
50,1,2," 74,590.93 ",1415, 52.71 
50,1,3," 48,644.22 ",921, 52.82 
50,1,4," 41,437.27 ",832, 49.80 
50,1,5," 51,031.95 ",900, 56.70 
50,1,6," 84,468.26 ",1574, 53.66 
50,1,7," 203,739.81 ",3730, 54.62 
50,1,8," 397,945.89 ",7549, 52.72 
50,1,9," 703,613.70 ",13326, 52.80 
50,1,10," 955,771.20 ",18304, 52.22 
50,1,11," 1,071,862.95 ",20688, 51.81 
50,1,12," 1,075,755.77 ",20532, 52.39 
50,1,13," 1,069,655.26 ",20948, 51.06 
50,1,14," 1,110,646.67 ",21572, 51.49 
50,1,15," 1,119,512.76 ",21418, 52.27 
50,1,16," 1,165,954.46 ",22161, 52.61 
50,1,17," 1,278,337.12 ",24427, 52.33 
50,1,18," 1,331,468.80 ",25474, 52.27 
50,1,19," 1,333,529.34 ",26407, 50.50 
50,1,20," 1,382,611.23 ",27236, 50.76 
50,1,21," 1,175,109.28 ",22924, 51.26 
50,1,22," 799,336.87 ",16187, 49.38 
50,1,23," 457,099.79 ",9167, 49.86 
50,2,0," 208,098.88 ",4173, 49.87 
50,2,1," 103,057.49 ",2079, 49.57 
50,2,2," 62,203.94 ",1218, 51.07 
50,2,3," 47,891.69 ",889, 53.87 
50,2,4," 45,276.59 ",932, 48.58 
50,2,5," 79,884.83 ",1604, 49.80 
50,2,6," 161,657.09 ",2998, 53.92 
50,2,7," 349,524.99 ",6553, 53.34 
50,2,8," 713,202.31 ",12948, 55.08 
50,2,9," 1,026,495.52 ",18901, 54.31 
50,2,10," 1,289,928.31 ",23907, 53.96 
50,2,11," 1,300,632.55 ",24344, 53.43 
50,2,12," 1,237,009.35 ",23702, 52.19 
50,2,13," 1,223,778.24 ",23466, 52.15 
50,2,14," 1,218,392.51 ",23165, 52.60 
50,2,15," 1,212,893.64 ",23474, 51.67 
50,2,16," 1,278,989.57 ",24848, 51.47 
50,2,17," 1,324,782.91 ",26367, 50.24 
50,2,18," 1,475,597.90 ",28646, 51.51 
50,2,19," 1,589,878.76 ",30810, 51.60 
50,2,20," 1,728,940.68 ",33592, 51.47 
50,2,21," 1,553,707.59 ",30416, 51.08 
50,2,22," 1,040,685.32 ",20830, 49.96 
50,2,23," 502,553.20 ",10165, 49.44 
50,3,0," 234,852.85 ",4791, 49.02 
50,3,1," 115,745.56 ",2374, 48.76 
50,3,2," 74,921.33 ",1493, 50.18 
50,3,3," 57,011.77 ",1114, 51.18 
50,3,4," 59,900.32 ",1154, 51.91 
50,3,5," 97,705.30 ",1976, 49.45 
50,3,6," 223,434.28 ",4124, 54.18 
50,3,7," 486,838.07 ",9097, 53.52 
50,3,8," 784,430.20 ",15495, 50.62 
50,3,9," 1,098,721.92 ",21195, 51.84 
50,3,10," 1,293,696.79 ",24300, 53.24 
50,3,11," 1,289,043.41 ",24657, 52.28 
50,3,12," 1,264,640.81 ",24687, 51.23 
50,3,13," 1,298,024.92 ",25091, 51.73 
50,3,14," 1,298,519.54 ",25063, 51.81 
50,3,15," 1,285,275.62 ",24623, 52.20 
50,3,16," 1,347,165.19 ",25689, 52.44 
50,3,17," 1,392,225.03 ",26746, 52.05 
50,3,18," 1,432,888.07 ",28056, 51.07 
50,3,19," 1,534,246.32 ",30605, 50.13 
50,3,20," 1,673,837.08 ",32899, 50.88 
50,3,21," 1,544,008.04 ",30727, 50.25 
50,3,22," 1,118,887.57 ",22429, 49.89 
50,3,23," 564,654.07 ",11547, 48.90 
50,4,0," 250,896.89 ",5135, 48.86 
50,4,1," 126,998.16 ",2545, 49.90 
50,4,2," 71,065.66 ",1416, 50.19 
50,4,3," 44,512.52 ",1000, 44.51 
50,4,4," 61,743.42 ",1214, 50.86 
50,4,5," 99,277.32 ",1959, 50.68 
50,4,6," 193,873.16 ",3735, 51.91 
50,4,7," 414,404.44 ",8155, 50.82 
50,4,8," 712,805.29 ",14091, 50.59 
50,4,9," 1,116,886.23 ",20560, 54.32 
50,4,10," 1,228,292.38 ",23181, 52.99 
50,4,11," 1,204,585.91 ",24083, 50.02 
50,4,12," 1,166,046.09 ",23136, 50.40 
50,4,13," 1,129,655.53 ",22708, 49.75 
50,4,14," 1,171,647.54 ",23172, 50.56 
50,4,15," 1,167,718.04 ",23423, 49.85 
50,4,16," 1,200,804.37 ",25399, 47.28 
50,4,17," 1,266,024.86 ",24763, 51.13 
50,4,18," 1,281,399.42 ",25904, 49.47 
50,4,19," 1,394,275.68 ",27959, 49.87 
50,4,20," 1,490,302.09 ",29604, 50.34 
50,4,21," 1,416,313.84 ",28593, 49.53 
50,4,22," 955,813.41 ",19882, 48.07 
50,4,23," 546,993.79 ",11306, 48.38 
50,5,0," 232,507.48 ",4802, 48.42 
50,5,1," 121,318.88 ",2432, 49.88 
50,5,2," 66,547.08 ",1315, 50.61 
50,5,3," 49,161.60 ",964, 51.00 
50,5,4," 48,077.36 ",993, 48.42 
50,5,5," 77,272.27 ",1587, 48.69 
50,5,6," 180,330.80 ",3395, 53.12 
50,5,7," 368,336.91 ",7129, 51.67 
50,5,8," 703,841.87 ",13533, 52.01 
50,5,9," 984,731.89 ",18842, 52.26 
50,5,10," 1,160,454.60 ",22524, 51.52 
50,5,11," 1,221,745.22 ",23705, 51.54 
50,5,12," 1,176,950.46 ",22259, 52.88 
50,5,13," 1,115,570.88 ",21791, 51.19 
50,5,14," 1,101,317.06 ",21895, 50.30 
50,5,15," 1,090,055.55 ",21066, 51.74 
50,5,16," 1,201,392.40 ",23130, 51.94 
50,5,17," 1,160,562.51 ",22983, 50.50 
50,5,18," 1,249,263.65 ",24074, 51.89 
50,5,19," 1,277,974.40 ",25178, 50.76 
50,5,20," 1,339,880.88 ",26666, 50.25 
50,5,21," 1,190,971.28 ",24024, 49.57 
50,5,22," 876,692.43 ",17879, 49.03 
50,5,23," 478,787.83 ",9792, 48.90 
50,6,0," 237,265.74 ",5028, 47.19 
50,6,1," 119,589.89 ",2429, 49.23 
50,6,2," 63,583.77 ",1304, 48.76 
50,6,3," 55,821.06 ",1080, 51.69 
50,6,4," 57,176.09 ",1130, 50.60 
50,6,5," 115,230.61 ",2163, 53.27 
50,6,6," 226,673.56 ",4179, 54.24 
50,6,7," 385,327.32 ",7701, 50.04 
50,6,8," 738,509.78 ",14085, 52.43 
50,6,9," 1,042,759.82 ",19828, 52.59 
50,6,10," 1,204,420.52 ",22956, 52.47 
50,6,11," 1,209,326.06 ",23759, 50.90 
50,6,12," 1,170,492.80 ",22175, 52.78 
50,6,13," 1,143,278.02 ",22065, 51.81 
50,6,14," 1,174,744.73 ",22763, 51.61 
50,6,15," 1,143,476.21 ",22030, 51.91 
50,6,16," 1,178,031.74 ",22819, 51.63 
50,6,17," 1,086,298.29 ",21844, 49.73 
50,6,18," 1,017,377.30 ",20648, 49.27 
50,6,19," 951,738.60 ",19004, 50.08 
50,6,20," 994,330.76 ",20260, 49.08 
50,6,21," 892,530.05 ",18367, 48.59 
50,6,22," 663,710.46 ",13861, 47.88 
50,6,23," 426,901.66 ",8869, 48.13 
50,7,0," 234,785.27 ",4750, 49.43 
50,7,1," 119,156.37 ",2415, 49.34 
50,7,2," 72,609.39 ",1425, 50.95 
50,7,3," 53,197.40 ",1035, 51.40 
50,7,4," 43,551.75 ",817, 53.31 
50,7,5," 64,270.89 ",1252, 51.33 
50,7,6," 115,074.28 ",2307, 49.88 
50,7,7," 253,753.76 ",5236, 48.46 
50,7,8," 514,972.07 ",10261, 50.19 
50,7,9," 726,151.43 ",14372, 50.53 
